system,id,coverage,density
gemma2:9b,6b138ac4c76b4b32ab6639bfef6dfaad,0.8537,2.0732
gemma2:9b,6f18757d62184196b18ed0ecda6b55bc,0.8,1.5111
gemma2:9b,7003129c4b77441b96743d87085f4d58,0.6905,1.0714
gemma2:9b,75aac08a2e784973badd5fb5b4a41397,0.8276,1.7241
gemma2:9b,77dd7eb99eaa458a9c33612845124d03,0.7045,1.3864
gemma2:9b,7d6aca97a8934adda2d0a5481808a5c8,0.8462,1.8846
gemma2:9b,7f46ca0ef37c46ca8e371c1fd9604d5c,0.8529,3.2647
gemma2:9b,82b69aa5acc04079a6d99ec7523f9af4,0.9048,2.2857
gemma2:9b,8319ea726dbb4eeab639c70ff3f72ec2,0.8125,1.3125
gemma2:9b,84fa3eec483747ba97c6b025c53e3005,0.8056,1.9722
gemma2:9b,8a87811f45754cd1b17c00e03d1f2773,0.8125,1.6875
gemma2:9b,909f8362981a44eeae5060ea05eb31e6,0.8163,1.5102
gemma2:9b,91394827e78e484084a81a6fae226b3a,0.6905,1.119
gemma2:9b,94cc70c2c23d4be4b93990116be9ecee,0.7556,2.4889
gemma2:9b,9748bf127ca74011b21fcea01135e263,0.7436,1.2051
gemma2:9b,975160e2274c49e3abe326d8e6c5e367,0.766,1.617
gemma2:9b,9e58291d3d234e4eb2ba38f90326eca3,0.6364,1.2273
gemma2:9b,9ff67e17a61f4b98ba99f986aea9b37c,0.7917,2.5
gemma2:9b,a23c8027fce646de9c068bbf1d759c36,0.8537,1.8293
gemma2:9b,a7d2b321390e4874bbbfc95f9ec862f9,0.7872,2.0638
gemma2:9b,acdd4f4f718740f3806bf0e30d038b66,0.7,1.1
gemma2:9b,b1ef36b906cc46f2901d438f650f4672,0.875,2.1667
gemma2:9b,b3168ab4857d4190ac3b2eb46d096f81,0.7391,1.2174
gemma2:9b,b6c205d481654a9887690b363229dba7,0.7955,1.4773
gemma2:9b,b799bf9fa6484454aa8e6558ad2e05fe,0.925,3.525
gemma2:9b,bd35a4e31c6a4123bc4f94e0cbf78981,0.875,4.075
gemma2:9b,bd9969ecd80e4ee685dfac604074f285,0.9048,2.0952
gemma2:9b,c346a0a6d6074573bcbe3a1c0bab1354,0.7347,1.3061
gemma2:9b,c49141df06f643f38cc7ea59635592bb,0.8222,2.0222
gemma2:9b,c4a977ddeb9f42b38b5fad9d418a3637,0.8095,1.7619
gemma2:9b,cf18e4a6728349f3afd5e1a2ca3f8a37,0.7963,1.3889
gemma2:9b,e1bf92b382b44b7d8a012889c0b7e60e,0.76,1.24
gemma2:9b,e399444828cc4d3c888daec393e94309,0.7143,1.5238
gemma2:9b,e53a5dad7de549729c853216c64b9b44,0.8158,1.8158
gemma2:9b,e92a0e61638344b8aebea5964d19694c,0.7838,2.0811
gemma2:9b,eaf927e02e984ee18ef7cf147a40245e,0.9318,1.9318
gemma2:9b,ef808d6c26924d8ca7f9ab88c54b12bd,0.7917,1.375
gemma2:9b,f1d84317501a4ba285f0e81384471f6e,0.75,1.65
gemma2:9b,f1e71c7354f74bd19bd9006c888ddb0a,0.7551,1.1633
gemma2:9b,f39e71a1b09d4cc9a52df7e49cc0437f,0.7255,3.6275
gemma2:9b,fa6aef87d0da4352885dd68996ff2c98,0.814,2.2093
gemma2:9b,fc0759c80e584fa4b407d74b350f2c6c,0.72,1.24
gemma2:9b,fd3b3290114f481388e56dd43b873253,0.75,2.1667
gemma2:9b,fff3805552f8494a93d9f149be98a250,0.7045,2.0227
gpt-4o-mini-2024-07-18,08c88b7d81f148ce95c37ac8a2b0c921,0.8125,1.1875
gpt-4o-mini-2024-07-18,0adb86356834452298d180104ff54179,0.898,3.1429
gpt-4o-mini-2024-07-18,0f1d41fcf8934fdf8fc993851ba9c6c4,0.7255,1.4314
gpt-4o-mini-2024-07-18,12e2247575bb460284ecaa276965b73f,0.8824,2.7255
gpt-4o-mini-2024-07-18,14f71296e6404651bfdcfd300ddebcf8,0.8298,4.5745
gpt-4o-mini-2024-07-18,1837ffd3608240eb94975a7144547467,0.9362,3.7021
gpt-4o-mini-2024-07-18,18cba9a8f2f64055a707452638182303,0.7917,1.875
gpt-4o-mini-2024-07-18,197ac2ec9f4247bca556023c0593c113,0.9273,2.5273
gpt-4o-mini-2024-07-18,1d6de9a1cfdc48f989f485d297fe294e,0.8125,2.6458
gpt-4o-mini-2024-07-18,1e9e8efed5544ebf8e20ae191c32a936,0.75,1.4808
gpt-4o-mini-2024-07-18,1ea22520bd7b4fe288c62159e02f803d,0.8542,2.1042
gpt-4o-mini-2024-07-18,220155949987431794d2c35d7fab6b3e,0.7083,1.5833
gpt-4o-mini-2024-07-18,22e7e602ee234513be86ebb57199b827,0.7255,1.5882
gpt-4o-mini-2024-07-18,24df2a97c6a94a40b5f291ad5e5314b0,0.7447,1.3404
gpt-4o-mini-2024-07-18,2569a0bebc5f487db4a5485b0c0896ec,0.8776,2.0612
gpt-4o-mini-2024-07-18,2ade281594b94155aa8c344f1302c0a6,0.7959,1.4898
gpt-4o-mini-2024-07-18,2c80f9196b654048b01397ebd52d3518,0.9057,2.6415
gpt-4o-mini-2024-07-18,302c800172da420f9e2e80474a9cf5ec,0.8085,1.5745
gpt-4o-mini-2024-07-18,3258d30c9b0a46afb2999af98a1123a1,0.6731,1.25
gpt-4o-mini-2024-07-18,3437e88f01a7470b8e227c785ff0bf0d,0.8478,1.9783
gpt-4o-mini-2024-07-18,3b82559a2edb48c7bffca655c43fe34d,0.6531,1.3061
gpt-4o-mini-2024-07-18,3d313cc616b64884a3c351a691d5095a,0.75,1.625
gpt-4o-mini-2024-07-18,423df8e4d9004e028cebb47f06bd1e35,0.7692,2.0769
gpt-4o-mini-2024-07-18,43fe258814434c85a12ac88831a476c3,0.9074,2.0185
gpt-4o-mini-2024-07-18,448cb2d5d0d6490083ae1b751f0b2e7b,0.6923,1.1923
gpt-4o-mini-2024-07-18,4f36bb563c2949a58db7198e337e64c1,0.8679,2.6792
gpt-4o-mini-2024-07-18,532b122b3bf54cf5a694141c313af07d,0.8519,2.6296
gpt-4o-mini-2024-07-18,58b81f0f9fa34aeea9f49e9c97241063,0.7755,1.6735
gpt-4o-mini-2024-07-18,5a5d2bbfb7a74067abfb31a5f4888c71,0.8367,2.2653
gpt-4o-mini-2024-07-18,649b09bfce674ca1bfd66a519fcdf59a,0.7818,2.3818
gpt-4o-mini-2024-07-18,658c33365a264d1ebb7adace464406e9,0.6226,1.0377
gpt-4o-mini-2024-07-18,66f39853ad2b437c8bdca86ae74bb35f,0.8077,4.3846
gpt-4o-mini-2024-07-18,6b138ac4c76b4b32ab6639bfef6dfaad,0.766,2.0426
gpt-4o-mini-2024-07-18,6f18757d62184196b18ed0ecda6b55bc,0.902,3.2941
gpt-4o-mini-2024-07-18,7003129c4b77441b96743d87085f4d58,0.8,1.3778
gpt-4o-mini-2024-07-18,75aac08a2e784973badd5fb5b4a41397,0.8431,1.8235
gpt-4o-mini-2024-07-18,77dd7eb99eaa458a9c33612845124d03,0.717,1.4717
gpt-4o-mini-2024-07-18,7d6aca97a8934adda2d0a5481808a5c8,0.8409,1.8864
gpt-4o-mini-2024-07-18,7f46ca0ef37c46ca8e371c1fd9604d5c,0.8,3.1111
gpt-4o-mini-2024-07-18,82b69aa5acc04079a6d99ec7523f9af4,0.9388,2.898
gpt-4o-mini-2024-07-18,8319ea726dbb4eeab639c70ff3f72ec2,0.7778,1.5556
gpt-4o-mini-2024-07-18,84fa3eec483747ba97c6b025c53e3005,0.7708,2.2292
gpt-4o-mini-2024-07-18,8a87811f45754cd1b17c00e03d1f2773,0.7255,1.4314
gpt-4o-mini-2024-07-18,909f8362981a44eeae5060ea05eb31e6,0.7358,1.1509
gpt-4o-mini-2024-07-18,91394827e78e484084a81a6fae226b3a,0.7059,2.1176
gpt-4o-mini-2024-07-18,94cc70c2c23d4be4b93990116be9ecee,0.7692,1.4231
gpt-4o-mini-2024-07-18,9748bf127ca74011b21fcea01135e263,0.7547,1.3208
gpt-4o-mini-2024-07-18,975160e2274c49e3abe326d8e6c5e367,0.75,1.375
gpt-4o-mini-2024-07-18,9e58291d3d234e4eb2ba38f90326eca3,0.7347,1.4286
gpt-4o-mini-2024-07-18,9ff67e17a61f4b98ba99f986aea9b37c,0.6923,1.2692
gpt-4o-mini-2024-07-18,a23c8027fce646de9c068bbf1d759c36,0.8039,1.9412
gpt-4o-mini-2024-07-18,a7d2b321390e4874bbbfc95f9ec862f9,0.8511,3.1915
gpt-4o-mini-2024-07-18,acdd4f4f718740f3806bf0e30d038b66,0.74,1.34
gpt-4o-mini-2024-07-18,b1ef36b906cc46f2901d438f650f4672,0.8571,1.6735
gpt-4o-mini-2024-07-18,b3168ab4857d4190ac3b2eb46d096f81,0.7843,1.4118
gpt-4o-mini-2024-07-18,b6c205d481654a9887690b363229dba7,0.9216,3.1569
gpt-4o-mini-2024-07-18,b799bf9fa6484454aa8e6558ad2e05fe,0.84,2.52
gpt-4o-mini-2024-07-18,bd35a4e31c6a4123bc4f94e0cbf78981,0.8,4.08
gpt-4o-mini-2024-07-18,bd9969ecd80e4ee685dfac604074f285,0.8,1.64
gpt-4o-mini-2024-07-18,c346a0a6d6074573bcbe3a1c0bab1354,0.8,1.72
gpt-4o-mini-2024-07-18,c49141df06f643f38cc7ea59635592bb,0.8545,2.3818
gpt-4o-mini-2024-07-18,c4a977ddeb9f42b38b5fad9d418a3637,0.6531,1.1837
gpt-4o-mini-2024-07-18,cf18e4a6728349f3afd5e1a2ca3f8a37,0.7037,0.963
gpt-4o-mini-2024-07-18,e1bf92b382b44b7d8a012889c0b7e60e,0.8113,1.6038
gpt-4o-mini-2024-07-18,e399444828cc4d3c888daec393e94309,0.82,3.3
gpt-4o-mini-2024-07-18,e53a5dad7de549729c853216c64b9b44,0.7143,1.2449
gpt-4o-mini-2024-07-18,e92a0e61638344b8aebea5964d19694c,0.8,2.36
gpt-4o-mini-2024-07-18,eaf927e02e984ee18ef7cf147a40245e,0.8936,1.9574
gpt-4o-mini-2024-07-18,ef808d6c26924d8ca7f9ab88c54b12bd,0.7347,1.2245
gpt-4o-mini-2024-07-18,f1d84317501a4ba285f0e81384471f6e,0.82,2.02
gpt-4o-mini-2024-07-18,f1e71c7354f74bd19bd9006c888ddb0a,0.7917,1.3333
gpt-4o-mini-2024-07-18,f39e71a1b09d4cc9a52df7e49cc0437f,0.72,2.32
gpt-4o-mini-2024-07-18,fa6aef87d0da4352885dd68996ff2c98,0.7647,1.902
gpt-4o-mini-2024-07-18,fc0759c80e584fa4b407d74b350f2c6c,0.8269,1.5192
gpt-4o-mini-2024-07-18,fd3b3290114f481388e56dd43b873253,0.8125,1.8958
gpt-4o-mini-2024-07-18,fff3805552f8494a93d9f149be98a250,0.7547,1.3962
freelance_writer,0adb86356834452298d180104ff54179,0.8936,5.1915
freelance_writer,0adb86356834452298d180104ff54179,0.7576,1.303
freelance_writer,0adb86356834452298d180104ff54179,0.9615,4.8462
freelance_writer,b3168ab4857d4190ac3b2eb46d096f81,0.9412,5.6471
freelance_writer,b3168ab4857d4190ac3b2eb46d096f81,0.9057,1.4717
freelance_writer,220155949987431794d2c35d7fab6b3e,0.7885,1.6346
freelance_writer,220155949987431794d2c35d7fab6b3e,0.6818,1.2727
freelance_writer,a7d2b321390e4874bbbfc95f9ec862f9,0.9149,4.3191
freelance_writer,a7d2b321390e4874bbbfc95f9ec862f9,0.625,1.0
freelance_writer,a7d2b321390e4874bbbfc95f9ec862f9,0.7857,1.7857
freelance_writer,a7d2b321390e4874bbbfc95f9ec862f9,0.7391,1.4783
freelance_writer,6b138ac4c76b4b32ab6639bfef6dfaad,0.7895,1.4211
freelance_writer,6b138ac4c76b4b32ab6639bfef6dfaad,0.7308,1.1154
freelance_writer,6b138ac4c76b4b32ab6639bfef6dfaad,0.7959,1.1633
freelance_writer,6f18757d62184196b18ed0ecda6b55bc,0.8654,2.0962
freelance_writer,6f18757d62184196b18ed0ecda6b55bc,0.9259,4.1481
freelance_writer,1e9e8efed5544ebf8e20ae191c32a936,0.74,1.06
freelance_writer,1e9e8efed5544ebf8e20ae191c32a936,0.7143,1.449
freelance_writer,1e9e8efed5544ebf8e20ae191c32a936,0.8235,1.2157
freelance_writer,7f46ca0ef37c46ca8e371c1fd9604d5c,0.7872,1.9787
freelance_writer,7f46ca0ef37c46ca8e371c1fd9604d5c,0.7959,2.8367
freelance_writer,7f46ca0ef37c46ca8e371c1fd9604d5c,0.8085,5.0638
freelance_writer,8319ea726dbb4eeab639c70ff3f72ec2,0.7407,1.7407
freelance_writer,8319ea726dbb4eeab639c70ff3f72ec2,0.8036,1.4821
freelance_writer,8319ea726dbb4eeab639c70ff3f72ec2,0.6889,1.6222
freelance_writer,bd9969ecd80e4ee685dfac604074f285,0.9155,3.7042
freelance_writer,bd9969ecd80e4ee685dfac604074f285,0.8148,1.3704
freelance_writer,f39e71a1b09d4cc9a52df7e49cc0437f,0.65,1.1
freelance_writer,f39e71a1b09d4cc9a52df7e49cc0437f,0.7547,1.7358
freelance_writer,f39e71a1b09d4cc9a52df7e49cc0437f,0.8043,1.9783
freelance_writer,2569a0bebc5f487db4a5485b0c0896ec,0.6667,1.4667
freelance_writer,2569a0bebc5f487db4a5485b0c0896ec,0.9455,6.4
freelance_writer,7d6aca97a8934adda2d0a5481808a5c8,0.9,3.25
freelance_writer,7d6aca97a8934adda2d0a5481808a5c8,0.8333,2.1667
freelance_writer,7d6aca97a8934adda2d0a5481808a5c8,0.8679,2.5283
freelance_writer,77dd7eb99eaa458a9c33612845124d03,0.9286,3.2143
freelance_writer,77dd7eb99eaa458a9c33612845124d03,0.92,2.12
freelance_writer,77dd7eb99eaa458a9c33612845124d03,0.8036,1.5893
freelance_writer,43fe258814434c85a12ac88831a476c3,0.7255,1.5098
freelance_writer,43fe258814434c85a12ac88831a476c3,0.9231,2.2308
freelance_writer,43fe258814434c85a12ac88831a476c3,0.807,2.5263
freelance_writer,e92a0e61638344b8aebea5964d19694c,0.8361,2.3443
freelance_writer,e92a0e61638344b8aebea5964d19694c,0.7143,1.0408
freelance_writer,e92a0e61638344b8aebea5964d19694c,0.6667,0.7451
freelance_writer,3258d30c9b0a46afb2999af98a1123a1,0.6667,0.9778
freelance_writer,3258d30c9b0a46afb2999af98a1123a1,0.6,0.76
freelance_writer,3258d30c9b0a46afb2999af98a1123a1,0.6809,0.9787
freelance_writer,3d313cc616b64884a3c351a691d5095a,0.95,2.8833
freelance_writer,3d313cc616b64884a3c351a691d5095a,0.8036,1.6964
freelance_writer,3d313cc616b64884a3c351a691d5095a,0.8936,1.9149
freelance_writer,24df2a97c6a94a40b5f291ad5e5314b0,0.8222,1.6667
freelance_writer,24df2a97c6a94a40b5f291ad5e5314b0,0.9153,2.4068
freelance_writer,24df2a97c6a94a40b5f291ad5e5314b0,0.7174,1.1087
freelance_writer,e399444828cc4d3c888daec393e94309,0.8704,1.8704
freelance_writer,e399444828cc4d3c888daec393e94309,0.7547,1.3208
freelance_writer,cf18e4a6728349f3afd5e1a2ca3f8a37,0.7174,0.8913
freelance_writer,cf18e4a6728349f3afd5e1a2ca3f8a37,0.8333,1.5741
freelance_writer,cf18e4a6728349f3afd5e1a2ca3f8a37,0.6909,1.2364
freelance_writer,acdd4f4f718740f3806bf0e30d038b66,0.9184,2.0612
freelance_writer,acdd4f4f718740f3806bf0e30d038b66,0.9429,2.4286
freelance_writer,acdd4f4f718740f3806bf0e30d038b66,0.9623,3.566
freelance_writer,1837ffd3608240eb94975a7144547467,0.8269,1.8654
freelance_writer,1837ffd3608240eb94975a7144547467,0.8571,2.1224
freelance_writer,1837ffd3608240eb94975a7144547467,0.8182,3.6909
freelance_writer,b799bf9fa6484454aa8e6558ad2e05fe,0.75,1.9167
freelance_writer,b799bf9fa6484454aa8e6558ad2e05fe,0.9,3.7333
freelance_writer,b799bf9fa6484454aa8e6558ad2e05fe,0.8723,2.3191
freelance_writer,b799bf9fa6484454aa8e6558ad2e05fe,0.8627,2.3137
freelance_writer,22e7e602ee234513be86ebb57199b827,0.8269,2.7885
freelance_writer,22e7e602ee234513be86ebb57199b827,0.8039,1.902
freelance_writer,22e7e602ee234513be86ebb57199b827,0.7547,2.5283
freelance_writer,66f39853ad2b437c8bdca86ae74bb35f,0.7308,1.8846
freelance_writer,66f39853ad2b437c8bdca86ae74bb35f,0.8,1.76
freelance_writer,66f39853ad2b437c8bdca86ae74bb35f,0.6842,1.3158
freelance_writer,c49141df06f643f38cc7ea59635592bb,0.8596,2.0175
freelance_writer,c49141df06f643f38cc7ea59635592bb,0.8545,2.4182
freelance_writer,c49141df06f643f38cc7ea59635592bb,0.82,1.34
freelance_writer,c346a0a6d6074573bcbe3a1c0bab1354,0.8039,2.3725
freelance_writer,c346a0a6d6074573bcbe3a1c0bab1354,0.8545,2.6
freelance_writer,c346a0a6d6074573bcbe3a1c0bab1354,0.7755,1.1837
freelance_writer,3b82559a2edb48c7bffca655c43fe34d,0.617,1.0851
freelance_writer,3b82559a2edb48c7bffca655c43fe34d,0.8596,3.0702
freelance_writer,1ea22520bd7b4fe288c62159e02f803d,0.68,1.2
freelance_writer,1ea22520bd7b4fe288c62159e02f803d,0.875,3.3036
freelance_writer,1ea22520bd7b4fe288c62159e02f803d,0.8163,1.7143
freelance_writer,909f8362981a44eeae5060ea05eb31e6,0.7647,1.549
freelance_writer,909f8362981a44eeae5060ea05eb31e6,0.8125,1.4375
freelance_writer,909f8362981a44eeae5060ea05eb31e6,0.7143,1.0816
freelance_writer,f1e71c7354f74bd19bd9006c888ddb0a,0.7708,1.1042
freelance_writer,f1e71c7354f74bd19bd9006c888ddb0a,0.8036,1.5893
freelance_writer,f1e71c7354f74bd19bd9006c888ddb0a,0.8108,1.2432
freelance_writer,fa6aef87d0da4352885dd68996ff2c98,0.6522,0.913
freelance_writer,fa6aef87d0da4352885dd68996ff2c98,0.875,4.1667
freelance_writer,fa6aef87d0da4352885dd68996ff2c98,0.8,1.44
freelance_writer,ef808d6c26924d8ca7f9ab88c54b12bd,0.8333,1.9762
freelance_writer,ef808d6c26924d8ca7f9ab88c54b12bd,0.8235,3.2549
freelance_writer,ef808d6c26924d8ca7f9ab88c54b12bd,0.8276,4.2414
freelance_writer,eaf927e02e984ee18ef7cf147a40245e,0.98,4.26
freelance_writer,eaf927e02e984ee18ef7cf147a40245e,0.8723,2.4894
freelance_writer,eaf927e02e984ee18ef7cf147a40245e,0.8654,2.1731
freelance_writer,82b69aa5acc04079a6d99ec7523f9af4,0.9138,3.3621
freelance_writer,82b69aa5acc04079a6d99ec7523f9af4,0.8772,2.5614
freelance_writer,82b69aa5acc04079a6d99ec7523f9af4,0.8696,1.3043
freelance_writer,08c88b7d81f148ce95c37ac8a2b0c921,0.9464,2.9821
freelance_writer,08c88b7d81f148ce95c37ac8a2b0c921,0.881,1.7857
freelance_writer,08c88b7d81f148ce95c37ac8a2b0c921,0.8261,1.8116
freelance_writer,448cb2d5d0d6490083ae1b751f0b2e7b,0.7755,1.3878
freelance_writer,448cb2d5d0d6490083ae1b751f0b2e7b,0.75,1.65
